,ask_count,bid_count,profit
dmi--sma,39.0,39.0,5746105.0
dmi--dmi,71.0,71.0,4657725.0
dmi--macd,41.0,42.0,4621294.0
sma--dmi,41.0,42.0,4371275.0
dmi--ema,12.0,13.0,3794144.0
mom--macd,49.0,50.0,3713191.0
dmi--mom,60.0,60.0,3450016.0
macd--ema,13.0,14.0,3417337.0
macd--bb3,14.0,15.0,3029829.0
rsi--dmi,33.0,34.0,3004905.0
dmi--bb3,13.0,14.0,2891614.0
sma--bb3,12.0,13.0,2792358.0
bb3--bb3,6.0,6.0,2569054.0
macd--bb2,33.0,34.0,2480092.0
bb2--dmi,25.0,25.0,2421171.0
macd--sma,39.0,40.0,2392559.0
mom--bb3,12.0,13.0,2335001.0
sma--sma,42.0,43.0,2187992.0
sma--bb2,27.0,28.0,2146128.0
sma--ema,12.0,13.0,2140259.0
mom--dmi,48.0,49.0,1945441.0
mom--ema,13.0,14.0,1828675.0
ema--bb3,8.0,9.0,1714370.0
bb2--bb3,9.0,10.0,1502585.0
dmi--bb2,32.0,33.0,1472203.0
rsi--bb3,11.0,12.0,1426104.0
bb3--ema,7.0,7.0,1162415.0
rsi--sma,30.0,31.0,881368.0
bb2--sma,24.0,24.0,734859.0
bb3--bb2,8.0,8.0,721702.0
mom--sma,39.0,40.0,641923.0
sma--macd,39.0,40.0,520051.0
macd--dmi,42.0,43.0,503815.0
bb3--dmi,8.0,8.0,451983.0
bb3--rsi,8.0,8.0,438301.0
bb3--sma,9.0,9.0,383863.0
bb3--macd,9.0,9.0,364349.0
bb2--macd,29.0,29.0,251737.0
bb3--mom,8.0,8.0,205898.0
macd--mom,55.0,55.0,-45562.0
rsi--macd,34.0,35.0,-282320.0
rsi--ema,12.0,13.0,-457501.0
mom--mom,80.0,81.0,-466788.0
mom--bb2,25.0,26.0,-492360.0
rsi--mom,36.0,36.0,-552923.0
bb2--bb2,15.0,16.0,-619527.0
rsi--bb2,18.0,19.0,-794865.0
bb2--mom,26.0,26.0,-807001.0
bb2--ema,11.0,12.0,-858276.0
macd--macd,57.0,58.0,-974091.0
ema--macd,14.0,14.0,-1071854.0
ema--dmi,14.0,14.0,-1177141.0
ema--ema,14.0,15.0,-1179466.0
ema--sma,14.0,14.0,-1294410.0
sma--mom,40.0,41.0,-1426303.0
ema--bb2,12.0,13.0,-1465015.0
ema--rsi,13.0,13.0,-1594561.0
sma--rsi,31.0,32.0,-1899510.0
macd--rsi,38.0,39.0,-1900328.0
rsi--rsi,24.0,25.0,-1988766.0
ema--mom,13.0,13.0,-2085386.0
bb2--rsi,19.0,19.0,-2139678.0
dmi--rsi,39.0,39.0,-2535688.0
mom--rsi,42.0,43.0,-3543927.0
